order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
order_00045,cust_00045,delivered,2017-09-20 10:00:00,2017-09-20 12:00:00,2017-09-21 10:00:00,2017-09-28 10:00:00,2017-10-02 10:00:00
order_00046,cust_00046,delivered,2017-09-18 15:00:00,2017-09-18 17:00:00,2017-09-19 15:00:00,2017-09-27 15:00:00,2017-09-30 15:00:00
order_00047,cust_00047,delivered,2017-09-19 19:00:00,2017-09-19 21:00:00,2017-09-20 19:00:00,2017-09-23 19:00:00,2017-10-01 19:00:00
order_00048,cust_00048,delivered,2017-09-24 12:00:00,2017-09-24 14:00:00,2017-09-25 12:00:00,2017-09-28 12:00:00,2017-10-06 12:00:00
order_00049,cust_00049,delivered,2017-09-20 11:00:00,2017-09-20 13:00:00,2017-09-21 11:00:00,2017-09-26 11:00:00,2017-10-02 11:00:00
order_00050,cust_00050,delivered,2017-09-21 15:00:00,2017-09-21 17:00:00,2017-09-22 15:00:00,2017-09-29 15:00:00,2017-10-03 15:00:00
order_00051,cust_00051,delivered,2017-09-20 15:00:00,2017-09-20 17:00:00,2017-09-21 15:00:00,2017-09-28 15:00:00,2017-10-02 15:00:00
order_00052,cust_00052,delivered,2017-09-20 20:00:00,2017-09-20 22:00:00,2017-09-21 20:00:00,2017-09-27 20:00:00,2017-10-02 20:00:00
order_00053,cust_00053,delivered,2017-09-20 20:00:00,2017-09-20 22:00:00,2017-09-21 20:00:00,2017-09-28 20:00:00,2017-10-02 20:00:00
order_00054,cust_00054,delivered,2017-09-24 08:00:00,2017-09-24 10:00:00,2017-09-25 08:00:00,2017-10-01 08:00:00,2017-10-06 08:00:00
order_00055,cust_00055,delivered,2017-09-21 14:00:00,2017-09-21 16:00:00,2017-09-22 14:00:00,2017-09-27 14:00:00,2017-10-03 14:00:00
order_00056,cust_00056,delivered,2017-09-24 16:00:00,2017-09-24 18:00:00,2017-09-25 16:00:00,2017-10-01 16:00:00,2017-10-06 16:00:00
order_00057,cust_00057,delivered,2017-09-24 08:00:00,2017-09-24 10:00:00,2017-09-25 08:00:00,2017-09-28 08:00:00,2017-10-06 08:00:00
order_00058,cust_00058,delivered,2017-09-21 19:00:00,2017-09-21 21:00:00,2017-09-22 19:00:00,2017-09-25 19:00:00,2017-10-03 19:00:00
order_00059,cust_00059,delivered,2017-09-22 12:00:00,2017-09-22 14:00:00,2017-09-23 12:00:00,2017-09-29 12:00:00,2017-10-04 12:00:00
order_00060,cust_00060,delivered,2017-09-23 18:00:00,2017-09-23 20:00:00,2017-09-24 18:00:00,2017-09-29 18:00:00,2017-10-05 18:00:00
order_00061,cust_00061,delivered,2017-09-18 19:00:00,2017-09-18 21:00:00,2017-09-19 19:00:00,2017-09-24 19:00:00,2017-09-30 19:00:00
order_00062,cust_00062,delivered,2017-09-19 12:00:00,2017-09-19 14:00:00,2017-09-20 12:00:00,2017-09-24 12:00:00,2017-10-01 12:00:00
order_00063,cust_00063,delivered,2017-09-21 08:00:00,2017-09-21 10:00:00,2017-09-22 08:00:00,2017-09-26 08:00:00,2017-10-03 08:00:00
order_00064,cust_00064,delivered,2017-09-19 18:00:00,2017-09-19 20:00:00,2017-09-20 18:00:00,2017-09-27 18:00:00,2017-10-01 18:00:00
order_00065,cust_00065,delivered,2017-09-18 12:00:00,2017-09-18 14:00:00,2017-09-19 12:00:00,2017-09-22 12:00:00,2017-09-30 12:00:00
order_00066,cust_00066,delivered,2017-09-21 11:00:00,2017-09-21 13:00:00,2017-09-22 11:00:00,2017-09-27 11:00:00,2017-10-03 11:00:00
order_00067,cust_00067,delivered,2017-09-21 09:00:00,2017-09-21 11:00:00,2017-09-22 09:00:00,2017-09-25 09:00:00,2017-10-03 09:00:00
order_00068,cust_00068,delivered,2017-09-23 19:00:00,2017-09-23 21:00:00,2017-09-24 19:00:00,2017-10-02 19:00:00,2017-10-05 19:00:00
order_00069,cust_00069,delivered,2017-09-18 15:00:00,2017-09-18 17:00:00,2017-09-19 15:00:00,2017-09-27 15:00:00,2017-09-30 15:00:00
order_00070,cust_00070,delivered,2017-09-27 15:00:00,2017-09-27 17:00:00,2017-09-28 15:00:00,2017-10-03 15:00:00,2017-10-09 15:00:00
order_00071,cust_00071,delivered,2017-09-29 13:00:00,2017-09-29 15:00:00,2017-09-30 13:00:00,2017-10-04 13:00:00,2017-10-11 13:00:00
order_00072,cust_00072,delivered,2017-09-30 15:00:00,2017-09-30 17:00:00,2017-10-01 15:00:00,2017-10-05 15:00:00,2017-10-12 15:00:00
order_00073,cust_00073,delivered,2017-09-29 12:00:00,2017-09-29 14:00:00,2017-09-30 12:00:00,2017-10-05 12:00:00,2017-10-11 12:00:00
order_00074,cust_00074,delivered,2017-09-25 09:00:00,2017-09-25 11:00:00,2017-09-26 09:00:00,2017-09-29 09:00:00,2017-10-07 09:00:00
order_00075,cust_00075,delivered,2017-09-29 21:00:00,2017-09-29 23:00:00,2017-09-30 21:00:00,2017-10-07 21:00:00,2017-10-11 21:00:00
order_00076,cust_00076,delivered,2017-09-30 17:00:00,2017-09-30 19:00:00,2017-10-01 17:00:00,2017-10-06 17:00:00,2017-10-12 17:00:00
order_00077,cust_00077,delivered,2017-09-30 11:00:00,2017-09-30 13:00:00,2017-10-01 11:00:00,2017-10-04 11:00:00,2017-10-12 11:00:00
order_00078,cust_00078,delivered,2017-09-30 16:00:00,2017-09-30 18:00:00,2017-10-01 16:00:00,2017-10-05 16:00:00,2017-10-12 16:00:00
order_00079,cust_00079,delivered,2017-09-25 12:00:00,2017-09-25 14:00:00,2017-09-26 12:00:00,2017-10-04 12:00:00,2017-10-07 12:00:00
order_00080,cust_00080,delivered,2017-09-25 14:00:00,2017-09-25 16:00:00,2017-09-26 14:00:00,2017-09-30 14:00:00,2017-10-07 14:00:00
order_00081,cust_00081,delivered,2017-09-25 16:00:00,2017-09-25 18:00:00,2017-09-26 16:00:00,2017-09-30 16:00:00,2017-10-07 16:00:00
order_00082,cust_00082,delivered,2017-09-29 10:00:00,2017-09-29 12:00:00,2017-09-30 10:00:00,2017-10-03 10:00:00,2017-10-11 10:00:00
order_00083,cust_00083,delivered,2017-09-29 19:00:00,2017-09-29 21:00:00,2017-09-30 19:00:00,2017-10-04 19:00:00,2017-10-11 19:00:00
order_00084,cust_00084,delivered,2017-09-30 21:00:00,2017-09-30 23:00:00,2017-10-01 21:00:00,2017-10-05 21:00:00,2017-10-12 21:00:00
order_00085,cust_00085,delivered,2017-09-26 14:00:00,2017-09-26 16:00:00,2017-09-27 14:00:00,2017-10-03 14:00:00,2017-10-08 14:00:00
order_00086,cust_00086,delivered,2017-09-28 09:00:00,2017-09-28 11:00:00,2017-09-29 09:00:00,2017-10-02 09:00:00,2017-10-10 09:00:00
order_00087,cust_00087,delivered,2017-09-25 19:00:00,2017-09-25 21:00:00,2017-09-26 19:00:00,2017-10-01 19:00:00,2017-10-07 19:00:00
order_00088,cust_00088,delivered,2017-09-29 19:00:00,2017-09-29 21:00:00,2017-09-30 19:00:00,2017-10-08 19:00:00,2017-10-11 19:00:00
order_00089,cust_00089,delivered,2017-09-27 17:00:00,2017-09-27 19:00:00,2017-09-28 17:00:00,2017-10-03 17:00:00,2017-10-09 17:00:00
order_00090,cust_00090,delivered,2017-09-29 16:00:00,2017-09-29 18:00:00,2017-09-30 16:00:00,2017-10-04 16:00:00,2017-10-11 16:00:00
order_00091,cust_00091,delivered,2017-09-26 20:00:00,2017-09-26 22:00:00,2017-09-27 20:00:00,2017-10-02 20:00:00,2017-10-08 20:00:00
order_00092,cust_00092,delivered,2017-09-27 17:00:00,2017-09-27 19:00:00,2017-09-28 17:00:00,2017-10-02 17:00:00,2017-10-09 17:00:00
order_00093,cust_00093,delivered,2017-09-27 12:00:00,2017-09-27 14:00:00,2017-09-28 12:00:00,2017-10-06 12:00:00,2017-10-09 12:00:00
order_00094,cust_00094,delivered,2017-09-29 13:00:00,2017-09-29 15:00:00,2017-09-30 13:00:00,2017-10-05 13:00:00,2017-10-11 13:00:00
order_00095,cust_00095,delivered,2017-10-01 11:00:00,2017-10-01 13:00:00,2017-10-02 11:00:00,2017-10-10 11:00:00,2017-10-13 11:00:00
order_00096,cust_00096,delivered,2017-09-28 17:00:00,2017-09-28 19:00:00,2017-09-29 17:00:00,2017-10-06 17:00:00,2017-10-10 17:00:00
order_00097,cust_00097,delivered,2017-09-26 08:00:00,2017-09-26 10:00:00,2017-09-27 08:00:00,2017-09-30 08:00:00,2017-10-08 08:00:00
order_00098,cust_00098,delivered,2017-09-27 18:00:00,2017-09-27 20:00:00,2017-09-28 18:00:00,2017-10-01 18:00:00,2017-10-09 18:00:00
order_00099,cust_00099,delivered,2017-09-27 18:00:00,2017-09-27 20:00:00,2017-09-28 18:00:00,2017-10-05 18:00:00,2017-10-09 18:00:00
order_00100,cust_00100,delivered,2017-09-27 11:00:00,2017-09-27 13:00:00,2017-09-28 11:00:00,2017-10-04 11:00:00,2017-10-09 11:00:00
order_00101,cust_00101,delivered,2017-10-03 14:00:00,2017-10-03 16:00:00,2017-10-04 14:00:00,2017-10-11 14:00:00,2017-10-15 14:00:00
order_00102,cust_00102,delivered,2017-10-03 13:00:00,2017-10-03 15:00:00,2017-10-04 13:00:00,2017-10-08 13:00:00,2017-10-15 13:00:00
order_00103,cust_00103,delivered,2017-10-08 13:00:00,2017-10-08 15:00:00,2017-10-09 13:00:00,2017-10-13 13:00:00,2017-10-20 13:00:00
order_00104,cust_00104,delivered,2017-10-08 20:00:00,2017-10-08 22:00:00,2017-10-09 20:00:00,2017-10-17 20:00:00,2017-10-20 20:00:00
order_00105,cust_00105,delivered,2017-10-08 13:00:00,2017-10-08 15:00:00,2017-10-09 13:00:00,2017-10-14 13:00:00,2017-10-20 13:00:00
order_00106,cust_00106,delivered,2017-10-02 16:00:00,2017-10-02 18:00:00,2017-10-03 16:00:00,2017-10-10 16:00:00,2017-10-14 16:00:00
order_00107,cust_00107,delivered,2017-10-08 10:00:00,2017-10-08 12:00:00,2017-10-09 10:00:00,2017-10-15 10:00:00,2017-10-20 10:00:00
order_00108,cust_00108,delivered,2017-10-07 11:00:00,2017-10-07 13:00:00,2017-10-08 11:00:00,2017-10-14 11:00:00,2017-10-19 11:00:00
order_00109,cust_00109,delivered,2017-10-05 14:00:00,2017-10-05 16:00:00,2017-10-06 14:00:00,2017-10-14 14:00:00,2017-10-17 14:00:00
order_00110,cust_00110,delivered,2017-10-06 20:00:00,2017-10-06 22:00:00,2017-10-07 20:00:00,2017-10-15 20:00:00,2017-10-18 20:00:00
order_00111,cust_00111,delivered,2017-10-04 15:00:00,2017-10-04 17:00:00,2017-10-05 15:00:00,2017-10-13 15:00:00,2017-10-16 15:00:00
order_00112,cust_00112,delivered,2017-10-03 12:00:00,2017-10-03 14:00:00,2017-10-04 12:00:00,2017-10-12 12:00:00,2017-10-15 12:00:00
order_00113,cust_00113,delivered,2017-10-05 12:00:00,2017-10-05 14:00:00,2017-10-06 12:00:00,2017-10-10 12:00:00,2017-10-17 12:00:00
order_00114,cust_00114,delivered,2017-10-04 17:00:00,2017-10-04 19:00:00,2017-10-05 17:00:00,2017-10-13 17:00:00,2017-10-16 17:00:00
order_00115,cust_00115,delivered,2017-10-07 20:00:00,2017-10-07 22:00:00,2017-10-08 20:00:00,2017-10-16 20:00:00,2017-10-19 20:00:00
order_00116,cust_00116,delivered,2017-10-03 20:00:00,2017-10-03 22:00:00,2017-10-04 20:00:00,2017-10-10 20:00:00,2017-10-15 20:00:00
order_00117,cust_00117,delivered,2017-10-08 10:00:00,2017-10-08 12:00:00,2017-10-09 10:00:00,2017-10-17 10:00:00,2017-10-20 10:00:00
order_00118,cust_00118,delivered,2017-10-03 16:00:00,2017-10-03 18:00:00,2017-10-04 16:00:00,2017-10-09 16:00:00,2017-10-15 16:00:00
order_00119,cust_00119,delivered,2017-10-03 14:00:00,2017-10-03 16:00:00,2017-10-04 14:00:00,2017-10-11 14:00:00,2017-10-15 14:00:00
order_00120,cust_00120,delivered,2017-10-03 12:00:00,2017-10-03 14:00:00,2017-10-04 12:00:00,2017-10-12 12:00:00,2017-10-15 12:00:00
order_00121,cust_00121,delivered,2017-10-07 21:00:00,2017-10-07 23:00:00,2017-10-08 21:00:00,2017-10-14 21:00:00,2017-10-19 21:00:00
order_00122,cust_00122,delivered,2017-10-07 12:00:00,2017-10-07 14:00:00,2017-10-08 12:00:00,2017-10-14 12:00:00,2017-10-19 12:00:00
order_00123,cust_00123,delivered,2017-10-04 21:00:00,2017-10-04 23:00:00,2017-10-05 21:00:00,2017-10-11 21:00:00,2017-10-16 21:00:00
order_00124,cust_00124,delivered,2017-10-02 11:00:00,2017-10-02 13:00:00,2017-10-03 11:00:00,2017-10-06 11:00:00,2017-10-14 11:00:00
order_00125,cust_00125,delivered,2017-10-03 11:00:00,2017-10-03 13:00:00,2017-10-04 11:00:00,2017-10-10 11:00:00,2017-10-15 11:00:00
order_00126,cust_00126,delivered,2017-10-03 16:00:00,2017-10-03 18:00:00,2017-10-04 16:00:00,2017-10-07 16:00:00,2017-10-15 16:00:00
order_00127,cust_00127,delivered,2017-10-06 21:00:00,2017-10-06 23:00:00,2017-10-07 21:00:00,2017-10-15 21:00:00,2017-10-18 21:00:00
order_00128,cust_00128,delivered,2017-10-05 18:00:00,2017-10-05 20:00:00,2017-10-06 18:00:00,2017-10-09 18:00:00,2017-10-17 18:00:00
order_00129,cust_00129,delivered,2017-10-08 18:00:00,2017-10-08 20:00:00,2017-10-09 18:00:00,2017-10-14 18:00:00,2017-10-20 18:00:00
order_00130,cust_00130,delivered,2017-10-05 14:00:00,2017-10-05 16:00:00,2017-10-06 14:00:00,2017-10-11 14:00:00,2017-10-17 14:00:00
order_00131,cust_00131,delivered,2017-10-07 12:00:00,2017-10-07 14:00:00,2017-10-08 12:00:00,2017-10-12 12:00:00,2017-10-19 12:00:00
order_00132,cust_00132,delivered,2017-10-02 20:00:00,2017-10-02 22:00:00,2017-10-03 20:00:00,2017-10-10 20:00:00,2017-10-14 20:00:00
order_00133,cust_00133,delivered,2017-10-03 21:00:00,2017-10-03 23:00:00,2017-10-04 21:00:00,2017-10-07 21:00:00,2017-10-15 21:00:00
order_00134,cust_00134,delivered,2017-10-15 12:00:00,2017-10-15 14:00:00,2017-10-16 12:00:00,2017-10-20 12:00:00,2017-10-27 12:00:00
order_00135,cust_00135,delivered,2017-10-09 21:00:00,2017-10-09 23:00:00,2017-10-10 21:00:00,2017-10-13 21:00:00,2017-10-21 21:00:00
order_00136,cust_00136,delivered,2017-10-13 09:00:00,2017-10-13 11:00:00,2017-10-14 09:00:00,2017-10-17 09:00:00,2017-10-25 09:00:00
order_00137,cust_00137,delivered,2017-10-09 10:00:00,2017-10-09 12:00:00,2017-10-10 10:00:00,2017-10-16 10:00:00,2017-10-21 10:00:00
order_00138,cust_00138,delivered,2017-10-14 19:00:00,2017-10-14 21:00:00,2017-10-15 19:00:00,2017-10-23 19:00:00,2017-10-26 19:00:00
order_00139,cust_00139,delivered,2017-10-14 17:00:00,2017-10-14 19:00:00,2017-10-15 17:00:00,2017-10-19 17:00:00,2017-10-26 17:00:00
order_00140,cust_00140,delivered,2017-10-10 18:00:00,2017-10-10 20:00:00,2017-10-11 18:00:00,2017-10-17 18:00:00,2017-10-22 18:00:00
order_00141,cust_00141,delivered,2017-10-09 21:00:00,2017-10-09 23:00:00,2017-10-10 21:00:00,2017-10-14 21:00:00,2017-10-21 21:00:00
order_00142,cust_00142,delivered,2017-10-10 20:00:00,2017-10-10 22:00:00,2017-10-11 20:00:00,2017-10-17 20:00:00,2017-10-22 20:00:00
order_00143,cust_00143,delivered,2017-10-13 16:00:00,2017-10-13 18:00:00,2017-10-14 16:00:00,2017-10-20 16:00:00,2017-10-25 16:00:00
order_00144,cust_00144,delivered,2017-10-11 17:00:00,2017-10-11 19:00:00,2017-10-12 17:00:00,2017-10-15 17:00:00,2017-10-23 17:00:00
order_00145,cust_00145,delivered,2017-10-10 11:00:00,2017-10-10 13:00:00,2017-10-11 11:00:00,2017-10-15 11:00:00,2017-10-22 11:00:00
order_00146,cust_00146,delivered,2017-10-15 10:00:00,2017-10-15 12:00:00,2017-10-16 10:00:00,2017-10-20 10:00:00,2017-10-27 10:00:00
order_00147,cust_00147,delivered,2017-10-09 09:00:00,2017-10-09 11:00:00,2017-10-10 09:00:00,2017-10-13 09:00:00,2017-10-21 09:00:00
order_00148,cust_00148,delivered,2017-10-11 11:00:00,2017-10-11 13:00:00,2017-10-12 11:00:00,2017-10-16 11:00:00,2017-10-23 11:00:00
order_00149,cust_00149,delivered,2017-10-09 21:00:00,2017-10-09 23:00:00,2017-10-10 21:00:00,2017-10-17 21:00:00,2017-10-21 21:00:00
order_00150,cust_00150,delivered,2017-10-14 16:00:00,2017-10-14 18:00:00,2017-10-15 16:00:00,2017-10-21 16:00:00,2017-10-26 16:00:00
order_00151,cust_00151,delivered,2017-10-15 08:00:00,2017-10-15 10:00:00,2017-10-16 08:00:00,2017-10-21 08:00:00,2017-10-27 08:00:00
order_00152,cust_00152,delivered,2017-10-11 14:00:00,2017-10-11 16:00:00,2017-10-12 14:00:00,2017-10-15 14:00:00,2017-10-23 14:00:00
order_00153,cust_00153,delivered,2017-10-15 11:00:00,2017-10-15 13:00:00,2017-10-16 11:00:00,2017-10-19 11:00:00,2017-10-27 11:00:00
order_00154,cust_00154,delivered,2017-10-12 13:00:00,2017-10-12 15:00:00,2017-10-13 13:00:00,2017-10-18 13:00:00,2017-10-24 13:00:00
order_00155,cust_00155,delivered,2017-10-11 14:00:00,2017-10-11 16:00:00,2017-10-12 14:00:00,2017-10-18 14:00:00,2017-10-23 14:00:00
order_00156,cust_00156,delivered,2017-10-11 15:00:00,2017-10-11 17:00:00,2017-10-12 15:00:00,2017-10-18 15:00:00,2017-10-23 15:00:00
order_00157,cust_00157,delivered,2017-10-11 09:00:00,2017-10-11 11:00:00,2017-10-12 09:00:00,2017-10-17 09:00:00,2017-10-23 09:00:00
order_00158,cust_00158,delivered,2017-10-10 08:00:00,2017-10-10 10:00:00,2017-10-11 08:00:00,2017-10-19 08:00:00,2017-10-22 08:00:00
order_00159,cust_00159,delivered,2017-10-09 20:00:00,2017-10-09 22:00:00,2017-10-10 20:00:00,2017-10-17 20:00:00,2017-10-21 20:00:00
order_00160,cust_00160,delivered,2017-10-13 20:00:00,2017-10-13 22:00:00,2017-10-14 20:00:00,2017-10-18 20:00:00,2017-10-25 20:00:00
order_00161,cust_00161,delivered,2017-10-13 18:00:00,2017-10-13 20:00:00,2017-10-14 18:00:00,2017-10-22 18:00:00,2017-10-25 18:00:00
order_00162,cust_00162,delivered,2017-10-15 15:00:00,2017-10-15 17:00:00,2017-10-16 15:00:00,2017-10-19 15:00:00,2017-10-27 15:00:00
order_00163,cust_00163,delivered,2017-10-11 17:00:00,2017-10-11 19:00:00,2017-10-12 17:00:00,2017-10-19 17:00:00,2017-10-23 17:00:00
order_00164,cust_00164,delivered,2017-10-15 13:00:00,2017-10-15 15:00:00,2017-10-16 13:00:00,2017-10-24 13:00:00,2017-10-27 13:00:00
order_00165,cust_00165,delivered,2017-10-17 17:00:00,2017-10-17 19:00:00,2017-10-18 17:00:00,2017-10-22 17:00:00,2017-10-29 17:00:00
order_00166,cust_00166,delivered,2017-10-20 18:00:00,2017-10-20 20:00:00,2017-10-21 18:00:00,2017-10-28 18:00:00,2017-11-01 18:00:00
order_00167,cust_00167,delivered,2017-10-22 12:00:00,2017-10-22 14:00:00,2017-10-23 12:00:00,2017-10-26 12:00:00,2017-11-03 12:00:00
order_00168,cust_00168,delivered,2017-10-19 19:00:00,2017-10-19 21:00:00,2017-10-20 19:00:00,2017-10-26 19:00:00,2017-10-31 19:00:00
order_00169,cust_00169,delivered,2017-10-16 20:00:00,2017-10-16 22:00:00,2017-10-17 20:00:00,2017-10-22 20:00:00,2017-10-28 20:00:00
order_00170,cust_00170,delivered,2017-10-21 13:00:00,2017-10-21 15:00:00,2017-10-22 13:00:00,2017-10-26 13:00:00,2017-11-02 13:00:00
order_00171,cust_00171,delivered,2017-10-16 08:00:00,2017-10-16 10:00:00,2017-10-17 08:00:00,2017-10-25 08:00:00,2017-10-28 08:00:00
order_00172,cust_00172,delivered,2017-10-16 16:00:00,2017-10-16 18:00:00,2017-10-17 16:00:00,2017-10-20 16:00:00,2017-10-28 16:00:00
order_00173,cust_00173,delivered,2017-10-20 12:00:00,2017-10-20 14:00:00,2017-10-21 12:00:00,2017-10-24 12:00:00,2017-11-01 12:00:00
